portfolio,pair,usd_notional,base_currency_units,spot_reference,carry_pa,annual_carry_usd
recommended_mixed,USD/CAD,2499999.9999999977,2499999.9999999977,1.3871,0.017228135027093472,43070.33756773364
recommended_mixed,GBP/EUR,83333.33333333283,61618.85043872584,1.1659625829812916,0.013097517678076431,1091.4598065063628
recommended_mixed,GBP/CHF,416666.66666666936,308094.25219363306,1.1042346,0.03971471389994826,16547.79745831188
recommended_mixed,AUD/SEK,2500000.0,3487236.713628121,6.953858309999999,0.02596907963677804,64922.6990919451
recommended_mixed,NOK/CHF,833333.3333333281,7739749.999999951,0.08791196959419448,0.0450454178842666,37537.8482368886
recommended_mixed,NOK/JPY,1666666.6666666619,15479499.999999953,16.53907856627583,0.03286328232855191,54772.13721425302
recommended_mixed,MXN/EUR,749999.9999999956,12725624.999999925,0.05081145060937093,0.0421098987052146,31582.424028910766
recommended_mixed,BRL/EUR,1249999.9999999925,6401124.999999962,0.16835776684069234,0.09338398067196899,116729.97583996053
recommended_dm,USD/CAD,2500000.0,2500000.0,1.3871,0.017228135027093472,43070.33756773368
recommended_dm,GBP/EUR,2083333.3333333305,1540471.2609681531,1.1659625829812916,0.013097517678076431,27286.495162659194
recommended_dm,GBP/CHF,416666.66666666715,308094.25219363143,1.1042346,0.03971471389994826,16547.797458311794
recommended_dm,AUD/SEK,2500000.0000000033,3487236.713628126,6.953858309999999,0.02596907963677804,64922.699091945186
recommended_dm,NOK/CHF,833333.3333333362,7739750.000000025,0.08791196959419448,0.0450454178842666,37537.84823688896
recommended_dm,NOK/JPY,1666666.6666666672,15479500.000000004,16.53907856627583,0.03286328232855191,54772.1372142532
